corpus,caso,fuentes,angulos_reales,metodo,angulos_estimados,error_medio_grados,tiempo_localizacion_ms,preprocesamiento_ms
corpus44100,clean-1source,1,"60.00",Pearson,"-98.00",158.000000,3953.842163,14.352798
corpus44100,clean-1source,1,"60.00",GCC,"-98.00",158.000000,3549.062967,14.352798
corpus44100,clean-1source,1,"60.00",SRP-PHAT,"-62.00",122.000000,3774.678946,14.352798
corpus44100,clean-1source,1,"60.00",Delay-and-Sum,"-100.00",160.000000,8520.149946,14.352798
corpus44100,clean-1source,1,"60.00",MUSIC,"-22.00",82.000000,127.851963,14.352798
corpus44100,clean-2source,2,"-30.00 90.00",Pearson,"152.00",180.000000,6142.833710,35.144091
corpus44100,clean-2source,2,"-30.00 90.00",GCC,"152.00",180.000000,5945.428848,35.144091
corpus44100,clean-2source,2,"-30.00 90.00",SRP-PHAT,"-180.00 120.00",90.000000,4313.192844,35.144091
corpus44100,clean-2source,2,"-30.00 90.00",Delay-and-Sum,"152.00",180.000000,7908.172846,35.144091
corpus44100,clean-2source,2,"-30.00 90.00",MUSIC,"-96.00 150.00",63.000000,133.711815,35.144091
corpus44100,clean-2source090,2,"0.00 90.00",Pearson,"-98.00",180.000000,6626.178980,32.932043
corpus44100,clean-2source090,2,"0.00 90.00",GCC,"-98.00",180.000000,4659.221888,32.932043
corpus44100,clean-2source090,2,"0.00 90.00",SRP-PHAT,"0.00 156.00",33.000000,4719.394922,32.932043
corpus44100,clean-2source090,2,"0.00 90.00",Delay-and-Sum,"-98.00",180.000000,14099.828243,32.932043
corpus44100,clean-2source090,2,"0.00 90.00",MUSIC,"-98.00 0.00",86.000000,249.459982,32.932043
corpus44100,clean-2source090_2,2,"0.00 90.00",Pearson,"-176.00 -102.00",98.000000,7072.586060,24.512053
corpus44100,clean-2source090_2,2,"0.00 90.00",GCC,"-176.00 -102.00",98.000000,7764.886141,24.512053
corpus44100,clean-2source090_2,2,"0.00 90.00",SRP-PHAT,"-120.00 0.00",75.000000,4766.608953,24.512053
corpus44100,clean-2source090_2,2,"0.00 90.00",Delay-and-Sum,"-178.00 -108.00",100.000000,16826.804161,24.512053
corpus44100,clean-2source090_2,2,"0.00 90.00",MUSIC,"-98.00 156.00",82.000000,459.702015,24.512053
corpus44100,clean-3source,3,"-30.00 90.00 -150.00",Pearson,"44.00 146.00",180.000000,7926.414251,39.310932
corpus44100,clean-3source,3,"-30.00 90.00 -150.00",GCC,"44.00 146.00",180.000000,7926.610947,39.310932
corpus44100,clean-3source,3,"-30.00 90.00 -150.00",SRP-PHAT,"-180.00 -96.00 0.00",58.000000,8038.537264,39.310932
corpus44100,clean-3source,3,"-30.00 90.00 -150.00",Delay-and-Sum,"-98.00 38.00 150.00",60.000000,20627.551079,39.310932
corpus44100,clean-3source,3,"-30.00 90.00 -150.00",MUSIC,"N/A",NaN,NaN,39.310932
corpus44100,clean-3source090180,3,"0.00 90.00 180.00",Pearson,"-178.00 -126.00 0.00",48.666667,8105.624914,31.610966
corpus44100,clean-3source090180,3,"0.00 90.00 180.00",GCC,"-178.00 -126.00 0.00",48.666667,7833.401203,31.610966
corpus44100,clean-3source090180,3,"0.00 90.00 180.00",SRP-PHAT,"-180.00 -120.00 -60.00",70.000000,7723.334074,31.610966
corpus44100,clean-3source090180,3,"0.00 90.00 180.00",Delay-and-Sum,"-180.00 -130.00 0.00",46.666667,22236.776114,31.610966
corpus44100,clean-3source090180,3,"0.00 90.00 180.00",MUSIC,"N/A",NaN,NaN,31.610966
corpus44100,clean-4source,4,"0.00 90.00 180.00 -90.00",Pearson,"-180.00 2.00 88.00",180.000000,7920.483828,31.780005
corpus44100,clean-4source,4,"0.00 90.00 180.00 -90.00",GCC,"-180.00 2.00 88.00",180.000000,8611.036062,31.780005
corpus44100,clean-4source,4,"0.00 90.00 180.00 -90.00",SRP-PHAT,"-180.00 -120.00 -60.00 120.00",30.000000,7742.612839,31.780005
corpus44100,clean-4source,4,"0.00 90.00 180.00 -90.00",Delay-and-Sum,"-178.00 2.00 88.00",180.000000,21388.669014,31.780005
corpus44100,clean-4source,4,"0.00 90.00 180.00 -90.00",MUSIC,"N/A",NaN,NaN,31.780005
corpus44100,noisy-1source,1,"0.00",Pearson,"174.00",174.000000,8761.336803,34.818888
corpus44100,noisy-1source,1,"0.00",GCC,"174.00",174.000000,9771.855831,34.818888
corpus44100,noisy-1source,1,"0.00",SRP-PHAT,"-180.00",180.000000,9141.219139,34.818888
corpus44100,noisy-1source,1,"0.00",Delay-and-Sum,"174.00",174.000000,32124.250174,34.818888
corpus44100,noisy-1source,1,"0.00",MUSIC,"176.00",176.000000,849.037886,34.
