caso,metodo,usa_dp,angulos_reales,angulos_estimados,errores_por_fuente_grados,error_medio_grados,tramas,bins_activos_medios,peso_medio,analisis_ms,escaneo_ms,dp_ms,total_por_ventana_ms
clean-3source,DAS 300-5000 Hz,0,"-30.00 90.00 -150.00","-143.00 -73.00 -32.00","2.00 163.00 7.00",57.333333,92,NaN,1.000000,684.990406,1685.952425,0.000000,25.771118
clean-3source,DAS 300-5000 Hz + DP,1,"-30.00 90.00 -150.00","-147.00 -15.00 85.00","15.00 5.00 3.00",7.666667,92,NaN,1.000000,684.990406,1685.952425,114.614010,27.016922
clean-3source,DAS 300-4000 Hz,0,"-30.00 90.00 -150.00","-142.00 -32.00 83.00","2.00 7.00 8.00",5.666667,92,NaN,1.000000,684.990406,1356.181145,0.000000,22.186647
clean-3source,DAS 300-4000 Hz + DP,1,"-30.00 90.00 -150.00","-51.00 -21.00 83.00","9.00 7.00 99.00",38.333333,92,NaN,1.000000,684.990406,1356.181145,124.583960,23.540821
clean-3source,DAS + SNR,0,"-30.00 90.00 -150.00","-144.00 -31.00 85.00","1.00 5.00 6.00",4.000000,92,47.913,0.338113,684.990406,796.522856,0.000000,16.103405
clean-3source,DAS + SNR + DP,1,"-30.00 90.00 -150.00","-149.00 -17.00 85.00","13.00 5.00 1.00",6.333333,92,47.913,0.338113,684.990406,796.522856,143.676996,17.665112
clean-3source,DAS + SNR + coherencia,0,"-30.00 90.00 -150.00","-145.00 -31.00 86.00","1.00 4.00 5.00",3.333333,92,43.837,0.270511,684.990406,759.762526,0.000000,15.703836
clean-3source,DAS + SNR + coherencia + DP,1,"-30.00 90.00 -150.00","-150.00 -15.00 87.00","15.00 3.00 0.00",6.000000,92,43.837,0.270511,684.990406,759.762526,133.690834,17.156997
clean-3source090180,DAS 300-5000 Hz,0,"0.00 90.00 180.00","1.00 119.00 179.00","1.00 29.00 1.00",10.333333,92,NaN,1.000000,628.025055,1669.709206,0.000000,24.975372
clean-3source090180,DAS 300-5000 Hz + DP,1,"0.00 90.00 180.00","1.00 119.00 179.00","1.00 29.00 1.00",10.333333,92,NaN,1.000000,628.025055,1669.709206,183.560848,26.970599
